pitchfork_id,artist,album,score,link,release_year
207,William Tyler,New Vanitas EP,7.5,/reviews/albums/william-tyler-new-vanitas/,2020
208,Sharon Jones and the Dap-Kings,Just Dropped In (To See What Condition My Rendition Was In),7.2,/reviews/albums/sharon-jones-and-the-dap-kings-just-dropped-in-to-see-what-condition-my-rendition-was-in/,2020
210,Mamalarky,Mamalarky,7.1,/reviews/albums/mamalarky-mamalarky/,2020
211,Spillage Village,Spilligion,6.9,/reviews/albums/spillage-village-spilligion/,2020
212,Miley Cyrus,Plastic Hearts,6.4,/reviews/albums/miley-cyrus-plastic-hearts/,2020
213,Luke Abbott,Translate,6.7,/reviews/albums/luke-abbott-translate/,2020
214,Flora Yin-Wong,Holy Palm,7.3,/reviews/albums/flora-yin-wong-holy-palm/,2020
215,Nothing,The Great Dismal,7.0,/reviews/albums/nothing-the-great-dismal/,2020
216,The Smashing Pumpkins,CYR,5.5,/reviews/albums/the-smashing-pumpkins-cyr/,2020
217,Rob Mazurek||Exploding Star Orchestra,Dimensional Stardust,8.0,/reviews/albums/rob-mazurek-exploding-star-orchestra-dimensional-stardust/,2020
219,Fatima Yamaha,Spontaneous Order,6.5,/reviews/albums/fatima-yamaha-spontaneous-order/,2020
220,FLOHIO,No Panic No Pain,6.7,/reviews/albums/flohio-no-panic-no-pain/,2020
221,Cabaret Voltaire,Shadow of Fear,6.8,/reviews/albums/cabaret-voltaire-shadow-of-fear/,2020
222,Il Quadro di Troisi,Il Quadro di Troisi,7.5,/reviews/albums/il-quadro-di-troisi-il-quadro-di-troisi/,2020
223,Coil,Musick to Play in the Dark,8.4,/reviews/albums/coil-musick-to-play-in-the-dark/,2020
226,Phoebe Bridgers,Copycat Killer EP,7.2,/reviews/albums/phoebe-bridgers-copycat-killer-ep/,2020
227,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,7.8,/reviews/albums/kali-uchis-sin-miedo-del-amor-y-otros-demonios/,2020
228,Shygirl ,Alias EP,7.5,/reviews/albums/shygirl-alias-ep/,2020
229,Megan Thee Stallion,Good News,7.8,/reviews/albums/megan-thee-stallion-good-news/,2020
230,Mary J. Blige,My Life,7.0,/reviews/albums/mary-j-blige-my-life/,2020
231,Roc Marciano,Mt. Marci,7.7,/reviews/albums/roc-marciano-mt-marci/,2020
233,The War on Drugs,LIVE DRUGS,7.8,/reviews/albums/the-war-on-drugs-live-drugs/,2020
234,BENEE,Hey u x,6.4,/reviews/albums/benee-hey-u-x/,2020
235,SAINt JHN,While the World Was Burning,5.7,/reviews/albums/saint-jhn-while-the-world-was-burning/,2020
236,Ilsa,Preyer,7.3,/reviews/albums/ilsa-preyer/,2020
238,Badge Époque Ensemble,Self Help,7.6,/reviews/albums/badge-epoque-ensemble-self-help/,2020
240,Babeheaven,Home for Now,6.6,/reviews/albums/babeheaven-home-for-now/,2020
241,David Nance,Staunch Honey,7.7,/reviews/albums/david-nance-staunch-honey/,2020
242,King Von,Welcome to O'Block,6.8,/reviews/albums/king-von-welcome-to-oblock/,2020
243,Emily A. Sprague,"Hill, Flower, Fog",7.6,/reviews/albums/emily-a-sprague-hill-flower-fog/,2020
244,Told Slant,Point the Flashlight and Walk,7.7,/reviews/albums/told-slant-point-the-flashlight-and-walk/,2020
245,Cakes Da Killa||Proper Villains,Muvaland EP,7.5,/reviews/albums/cakes-da-killa-proper-villains-muvaland-ep/,2020
246,TV Freaks,People,7.8,/reviews/albums/tv-freaks-people/,2020
247,SOUL GLO,Songs to Yeet at the Sun EP,8.1,/reviews/albums/soul-glo-songs-to-yeet-at-the-sun-ep/,2020
